id,creationDate,publicatioName,reviewText,scoreSentiment,title,runtimeMinutes,genre,originalLanguage,predictedSentiment,cleaned_text,LDA_Topics
298274,2009-07-09,eFilmCritic.com,film badly executed wonder Larry Doyle serves screenwriter ever read book let alone wrote,NEGATIVE,"I Love You, Beth Cooper",102.0,Comedy,English,Negative,"['film', 'badly', 'executed', 'wonder', 'larry', 'doyle', 'serves', 'screenwriter', 'ever', 'read', 'book', 'let', 'alone', 'wrote']","[(0, 0.013442704), (1, 0.20833714), (2, 0.75135577), (3, 0.013417036), (4, 0.013447315)]"
1013839,2000-01-01,Detroit News,Gone 60 Seconds plays like picture made numbers numbers,NEGATIVE,Gone in Sixty Seconds,117.0,"Action, Mystery & thriller",English,Negative,"['gone', '60', 'seconds', 'plays', 'like', 'picture', 'made', 'numbers', 'numbers']","[(0, 0.5055281), (1, 0.43366197), (2, 0.020251652), (3, 0.020336708), (4, 0.020221598)]"
1014182,2020-08-06,World Socialist Web Site,Rosie affecting narrow relation dimensions problem overall situation Ireland,NEGATIVE,Rosie,86.0,Drama,English (United Kingdom),Negative,"['rosie', 'affecting', 'narrow', 'relation', 'dimensions', 'problem', 'overall', 'situation', 'ireland']","[(0, 0.020259334), (1, 0.020032084), (2, 0.020223562), (3, 0.02013109), (4, 0.91935396)]"
234442,2007-03-14,AV Club,Tawdriness aside Backyard remarkable intensity interviewees show new kind allAmerican gumption way filter mannerisms lowrung celebrities geekedout violent imaginations,POSITIVE,The Backyard,80.0,Documentary,English,Positive,"['tawdriness', 'aside', 'backyard', 'remarkable', 'intensity', 'interviewees', 'show', 'new', 'kind', 'allamerican', 'gumption', 'way', 'filter', 'mannerisms', 'lowrung', 'celebrities', 'geekedout', 'violent', 'imaginations']","[(0, 0.95933896), (1, 0.010156923), (2, 0.010224835), (3, 0.010146963), (4, 0.010132377)]"
296918,2000-01-01,CNN.com,problem John Waters making movie sorry state commercial cinema output little useful hes satirizing,NEGATIVE,Cecil B. Demented,88.0,"Comedy, Drama",English,Negative,"['problem', 'john', 'waters', 'making', 'movie', 'sorry', 'state', 'commercial', 'cinema', 'output', 'little', 'useful', 'hes', 'satirizing']","[(0, 0.01355192), (1, 0.013426381), (2, 0.013574882), (3, 0.013595518), (4, 0.94585127)]"
422273,2018-11-01,Assignment X,see enough make us wish could see much greater clarity,NEGATIVE,I Saw the Light,123.0,"Biography, History, Drama",English,Negative,"['see', 'enough', 'make', 'us', 'wish', 'could', 'see', 'much', 'greater', 'clarity']","[(0, 0.018961014), (1, 0.018748999), (2, 0.9253275), (3, 0.018510755), (4, 0.018451761)]"
1086691,2019-03-01,Starburst,Funny smart touching mention romantic Somewhere Time masterclass acting writing emotive cinema Required viewing,POSITIVE,Somewhere in Time,103.0,Sci-fi,English,Positive,"['funny', 'smart', 'touching', 'mention', 'romantic', 'somewhere', 'time', 'masterclass', 'acting', 'writing', 'emotive', 'cinema', 'required', 'viewing']","[(0, 0.013689971), (1, 0.013542962), (2, 0.013530867), (3, 0.6184417), (4, 0.34079447)]"
734030,2019-04-10,EscribiendoCine,worst flaw force horror obvious images instead looking innocent details,NEGATIVE,Pet Sematary,101.0,"Horror, Mystery & thriller",English,Negative,"['worst', 'flaw', 'force', 'horror', 'obvious', 'images', 'instead', 'looking', 'innocent', 'details']","[(0, 0.25800994), (1, 0.018415391), (2, 0.018396627), (3, 0.6863044), (4, 0.018873615)]"
799736,2012-07-05,Jam! Movies,Overall storytelling jumbled movie fragments much time spent boring silliness,NEGATIVE,To Rome With Love,111.0,"Romance, Comedy",English,Negative,"['overall', 'storytelling', 'jumbled', 'movie', 'fragments', 'much', 'time', 'spent', 'boring', 'silliness']","[(0, 0.92585343), (1, 0.018818723), (2, 0.01849286), (3, 0.018350376), (4, 0.018484626)]"
1104741,2022-08-26,Gay Community News (Boston),Maurice feels stifled held back desire please expectant audience,NEGATIVE,Maurice,140.0,"Drama, Romance, Lgbtq+",English,Negative,"['maurice', 'feels', 'stifled', 'held', 'back', 'desire', 'please', 'expectant', 'audience']","[(0, 0.6610552), (1, 0.02024536), (2, 0.27802175), (3, 0.020383189), (4, 0.020294499)]"
780962,2022-02-11,Third Coast Review,Rohers film turns enlightening emotionalit also alarming downright hilarious,POSITIVE,Navalny,98.0,Documentary,Russian,Positive,"['rohers', 'film', 'turns', 'enlightening', 'emotionalit', 'also', 'alarming', 'downright', 'hilarious']","[(0, 0.020286294), (1, 0.020358382), (2, 0.021256438), (3, 0.91777176), (4, 0.020327086)]"
82198,2013-06-13,Birmingham Post,35 years time rather suspect todays popcorn fix simply described pants,NEGATIVE,Man of Steel,143.0,"Action, Adventure, Sci-fi, Fantasy",English,Positive,"['35', 'years', 'time', 'rather', 'suspect', 'todays', 'popcorn', 'fix', 'simply', 'described', 'pants']","[(0, 0.9316683), (1, 0.017778978), (2, 0.01684753), (3, 0.016839795), (4, 0.01686539)]"
123120,2001-08-24,Washington Post,Ryan get signed majors win Tenleys heart youre even wondering movies,NEGATIVE,Summer Catch,108.0,"Romance, Comedy",English,Positive,"['ryan', 'get', 'signed', 'majors', 'win', 'tenleys', 'heart', 'youre', 'even', 'wondering', 'movies']","[(0, 0.016986633), (1, 0.017051626), (2, 0.017063772), (3, 0.017180253), (4, 0.9317177)]"
968306,2002-07-26,eFilmCritic.com,Pure spaghetti western perfection,POSITIVE,"The Good, the Bad and the Ugly",161.0,Western,English,Positive,"['pure', 'spaghetti', 'western', 'perfection']","[(0, 0.041256543), (1, 0.8382182), (2, 0.040122427), (3, 0.040312055), (4, 0.04009073)]"
629669,2015-08-28,TheHorrorShow,loving postmodern pastiche Eighties excess setting hilariously daft incongruity extreme sadism gore alongside great deal sweetness genuine charm,POSITIVE,Turbo Kid,95.0,"Action, Adventure, Sci-fi, Comedy",English,Positive,"['loving', 'postmodern', 'pastiche', 'eighties', 'excess', 'setting', 'hilariously', 'daft', 'incongruity', 'extreme', 'sadism', 'gore', 'alongside', 'great', 'deal', 'sweetness', 'genuine', 'charm']","[(0, 0.232848), (1, 0.7352704), (2, 0.01062911), (3, 0.010615914), (4, 0.010636544)]"
397796,2021-06-03,Washington Post,confers credibility whatever character however farfetched,POSITIVE,The Conjuring: The Devil Made Me Do It,112.0,"Horror, Mystery & thriller",English,Negative,"['confers', 'credibility', 'whatever', 'character', 'however', 'farfetched']","[(0, 0.88401914), (1, 0.029106654), (2, 0.028651092), (3, 0.02918913), (4, 0.029033935)]"
1096182,2019-04-25,Screen Junkies,marketing gets movie much,NEGATIVE,The Cloverfield Paradox,102.0,"Sci-fi, Mystery & thriller",English,Negative,"['marketing', 'gets', 'movie', 'much']","[(0, 0.041030824), (1, 0.8359114), (2, 0.04139091), (3, 0.04051127), (4, 0.04115555)]"
368290,2008-08-18,New York Magazine/Vulture,Trouble Water ineradicably moving,POSITIVE,Trouble the Water,93.0,Documentary,English,Positive,"['trouble', 'water', 'ineradicably', 'moving']","[(0, 0.040402185), (1, 0.5616554), (2, 0.040139794), (3, 0.040567107), (4, 0.3172356)]"
78594,2004-03-08,rec.arts.movies.reviews,film American dream gone awry,POSITIVE,Capturing the Friedmans,107.0,"Documentary, Biography",English,Positive,"['film', 'american', 'dream', 'gone', 'awry']","[(0, 0.034517676), (1, 0.033947375), (2, 0.03464863), (3, 0.03391876), (4, 0.8629676)]"
754906,2002-12-10,Planet S Magazine,Theres one question comes Gangs acting Oscar Daniel DayLewis going win Actor Supporting Actor studio decides category theyre going push AMPAS may well mail trophy,POSITIVE,Gangs of New York,168.0,"History, Drama",English,Negative,"['theres', 'one', 'question', 'comes', 'gangs', 'acting', 'oscar', 'daniel', 'daylewis', 'going', 'win', 'actor', 'supporting', 'actor', 'studio', 'decides', 'category', 'theyre', 'going', 'push', 'ampas', 'may', 'well', 'mail', 'trophy']","[(1, 0.09894845), (3, 0.87758505)]"
714965,2019-03-22,CineXpress,Hey rock biopic hold beer Without doubt guilty pleasure,POSITIVE,The Dirt,108.0,"Drama, Biography, Music",English,Positive,"['hey', 'rock', 'biopic', 'hold', 'beer', 'without', 'doubt', 'guilty', 'pleasure']","[(0, 0.02061949), (1, 0.020117855), (2, 0.9190296), (3, 0.02018485), (4, 0.02004824)]"
695533,2010-03-04,BrianOrndorf.com,picture isnt perfect Fuqua shows newfound control maturity quests make mark overworked genre keeping film gripping anguished long enough make substantial impression,POSITIVE,Brooklyn's Finest,125.0,"Crime, Drama",English,Positive,"['picture', 'isnt', 'perfect', 'fuqua', 'shows', 'newfound', 'control', 'maturity', 'quests', 'make', 'mark', 'overworked', 'genre', 'keeping', 'film', 'gripping', 'anguished', 'long', 'enough', 'make', 'substantial', 'impression']","[(1, 0.9644696)]"
164751,2015-10-12,Film Journal International,Academy give Blanchett Oscar,POSITIVE,Truth,121.0,Drama,English,Positive,"['academy', 'give', 'blanchett', 'oscar']","[(0, 0.04002285), (1, 0.040136922), (2, 0.04002243), (3, 0.8397601), (4, 0.040057633)]"
1160966,2007-06-21,Movie Mom,warm likeability atomicclock comic timing Carell Lauren Graham televisions Gilmore Girls wife Wanda Sykes Congressional aide quick running time 90 minutes keep mildly entertaining,POSITIVE,Evan Almighty,96.0,"Kids & family, Comedy",English,Positive,"['warm', 'likeability', 'atomicclock', 'comic', 'timing', 'carell', 'lauren', 'graham', 'televisions', 'gilmore', 'girls', 'wife', 'wanda', 'sykes', 'congressional', 'aide', 'quick', 'running', 'time', '90', 'minutes', 'keep', 'mildly', 'entertaining']","[(0, 0.9673923)]"
789713,2014-01-03,Grantland,Washington Wahlberg good time robbing banks blowing buildings barreling military security checkpoints doublecrossing people shooting none really means anything,POSITIVE,2 Guns,109.0,"Action, Comedy, Mystery & thriller",English,Negative,"['washington', 'wahlberg', 'good', 'time', 'robbing', 'banks', 'blowing', 'buildings', 'barreling', 'military', 'security', 'checkpoints', 'doublecrossing', 'people', 'shooting', 'none', 'really', 'means', 'anything']","[(0, 0.0101900995), (1, 0.010105124), (2, 0.8662691), (3, 0.10332322), (4, 0.010112499)]"
821083,2005-05-05,Arizona Republic,biggest shortcoming crusader story Scott twists facts cant elevate story something alluring recreation,NEGATIVE,Kingdom of Heaven,145.0,"History, Drama, War, Adventure",English,Negative,"['biggest', 'shortcoming', 'crusader', 'story', 'scott', 'twists', 'facts', 'cant', 'elevate', 'story', 'something', 'alluring', 'recreation']","[(0, 0.014456477), (1, 0.014468289), (2, 0.014512829), (3, 0.014456659), (4, 0.94210577)]"
968360,2022-05-02,Observer (UK),splendid Irish actor Dan OHerlihy Buuels immortal Crusoe also hand lend comic substance lizardskinned extraterrestrial pilot Castles likeable movie never funny exciting often promises,POSITIVE,The Last Starfighter,100.0,Sci-fi,English,Positive,"['splendid', 'irish', 'actor', 'dan', 'oherlihy', 'buuels', 'immortal', 'crusoe', 'also', 'hand', 'lend', 'comic', 'substance', 'lizardskinned', 'extraterrestrial', 'pilot', 'castles', 'likeable', 'movie', 'never', 'funny', 'exciting', 'often', 'promises']","[(4, 0.96749085)]"
795296,2009-04-03,Washington Post,Thanks exceptionally deft touch Mottola manages capture absurdity anguish young adulthood never sacrificing meaning altar crude humor,POSITIVE,Adventureland,106.0,"Comedy, Drama, Romance",English,Positive,"['thanks', 'exceptionally', 'deft', 'touch', 'mottola', 'manages', 'capture', 'absurdity', 'anguish', 'young', 'adulthood', 'never', 'sacrificing', 'meaning', 'altar', 'crude', 'humor']","[(0, 0.011470756), (1, 0.9543177), (2, 0.011406747), (3, 0.0114153195), (4, 0.0113894725)]"
161938,2008-10-17,New York Post,Mary mess inter esting one yet still mess,NEGATIVE,Mary,86.0,"Drama, Mystery & thriller",English,Negative,"['mary', 'mess', 'inter', 'esting', 'one', 'yet', 'still', 'mess']","[(0, 0.9101987), (1, 0.022410918), (2, 0.022613147), (3, 0.022449281), (4, 0.022327915)]"
524762,2011-03-21,Urban Cinefile,One key flaws film Barney likeable admirable charismatic charming clever anything,POSITIVE,Barney's Version,132.0,"Drama, Comedy",English,Positive,"['one', 'key', 'flaws', 'film', 'barney', 'likeable', 'admirable', 'charismatic', 'charming', 'clever', 'anything']","[(0, 0.016967518), (1, 0.01683156), (2, 0.75814795), (3, 0.017001523), (4, 0.19105148)]"
499789,2022-10-30,Film Frenzy,Scifi done lofi lowbudget,POSITIVE,Trancers,85.0,Sci-fi,English,Positive,"['scifi', 'done', 'lofi', 'lowbudget']","[(0, 0.040921953), (1, 0.04124818), (2, 0.040198926), (3, 0.040436924), (4, 0.837194)]"
351774,2003-09-30,FilmStew.com,execution stale draft beer joints band entertains,NEGATIVE,Prey for Rock and Roll,103.0,"Drama, Lgbtq+",English,Negative,"['execution', 'stale', 'draft', 'beer', 'joints', 'band', 'entertains']","[(0, 0.8988279), (1, 0.02505574), (2, 0.025627872), (3, 0.025378209), (4, 0.025110293)]"
439124,2001-12-09,Film Journal International,Wong Morgan didnt think beyond pitch session becomes painful watch quickly duo squanders storys potential,NEGATIVE,The One,87.0,"Action, Adventure, Sci-fi, Mystery & thriller, Fantasy",English,Negative,"['wong', 'morgan', 'didnt', 'think', 'beyond', 'pitch', 'session', 'becomes', 'painful', 'watch', 'quickly', 'duo', 'squanders', 'storys', 'potential']","[(0, 0.012857135), (1, 0.94825125), (2, 0.013045512), (3, 0.012873667), (4, 0.012972424)]"
65412,2012-11-01,Bullz-Eye.com,John Gatins script certainly good intentions know used pave road hell,NEGATIVE,Flight,138.0,"Drama, Mystery & thriller",English,Negative,"['john', 'gatins', 'script', 'certainly', 'good', 'intentions', 'know', 'used', 'pave', 'road', 'hell']","[(0, 0.9324889), (1, 0.016910575), (2, 0.01703223), (3, 0.016764004), (4, 0.016804302)]"
777004,2011-02-26,Arkansas Democrat-Gazette,much bad movie timid one fails fulfill potential honestly bad script raises difficult questions denouement however predictable genuinely moving,NEGATIVE,The Grace Card,101.0,Drama,English,Negative,"['much', 'bad', 'movie', 'timid', 'one', 'fails', 'fulfill', 'potential', 'honestly', 'bad', 'script', 'raises', 'difficult', 'questions', 'denouement', 'however', 'predictable', 'genuinely', 'moving']","[(0, 0.9592861), (1, 0.010183605), (2, 0.010201908), (3, 0.01013562), (4, 0.010192767)]"
233841,2005-01-15,Reel Reviews,starts feeling like scrawny little runofthemill sports movie wimpy title actually goes distance end one 2004s best films,POSITIVE,Million Dollar Baby,132.0,Drama,English,Negative,"['starts', 'feeling', 'like', 'scrawny', 'little', 'runofthemill', 'sports', 'movie', 'wimpy', 'title', 'actually', 'goes', 'distance', 'end', 'one', '2004s', 'best', 'films']","[(0, 0.010622682), (1, 0.011080992), (2, 0.010839377), (3, 0.9568138), (4, 0.010643113)]"
338987,2012-06-29,Slant Magazine,mutation necessary clearly see Marvels reboot signature franchise unimaginative remake Sam Raimis 2002 SpiderMan,NEGATIVE,The Amazing Spider-Man,136.0,"Action, Adventure, Mystery & thriller",English,Negative,"['mutation', 'necessary', 'clearly', 'see', 'marvels', 'reboot', 'signature', 'franchise', 'unimaginative', 'remake', 'sam', 'raimis', '2002', 'spiderman']","[(0, 0.013410183), (1, 0.40417662), (2, 0.26604056), (3, 0.30258006), (4, 0.01379258)]"
670664,2002-12-23,Fantastica Daily,Romantics loyal movie romantics,NEGATIVE,Two Weeks Notice,101.0,"Romance, Comedy",English,Positive,"['romantics', 'loyal', 'movie', 'romantics']","[(0, 0.04012154), (1, 0.8392804), (2, 0.040212434), (3, 0.04011017), (4, 0.04027545)]"
758967,2021-02-04,Aisle Seat,atmospheric horror movie grows increasingly eerie delivering knockout finale,POSITIVE,Sacrifice,87.0,"Horror, Mystery & thriller",English,Positive,"['atmospheric', 'horror', 'movie', 'grows', 'increasingly', 'eerie', 'delivering', 'knockout', 'finale']","[(0, 0.020099586), (1, 0.4495599), (2, 0.020170193), (3, 0.36998612), (4, 0.1401842)]"
208014,2005-10-13,KWQC-TV (Iowa),Ew Waiting longs shock audience,NEGATIVE,Waiting ...,93.0,Comedy,English,Negative,"['ew', 'waiting', 'longs', 'shock', 'audience']","[(0, 0.8652521), (1, 0.033620503), (2, 0.0341862), (3, 0.033469062), (4, 0.033472132)]"
1159159,2016-05-06,HollywoodInToto.com,Civil War shiny inoffensive product meant make millions Disney global scale also delivers pure entertainment film recent memory,POSITIVE,Captain America: Civil War,146.0,"Action, Adventure, Fantasy",English,Positive,"['civil', 'war', 'shiny', 'inoffensive', 'product', 'meant', 'make', 'millions', 'disney', 'global', 'scale', 'also', 'delivers', 'pure', 'entertainment', 'film', 'recent', 'memory']","[(0, 0.010915435), (1, 0.31015685), (2, 0.182683), (3, 0.22543259), (4, 0.27081212)]"
1162755,2002-06-24,New York Magazine/Vulture,Nachtwey clears cynicism right makes realize deep inside righteousness found tough beauty,POSITIVE,War Photographer,96.0,Documentary,English,Positive,"['nachtwey', 'clears', 'cynicism', 'right', 'makes', 'realize', 'deep', 'inside', 'righteousness', 'found', 'tough', 'beauty']","[(0, 0.015456359), (1, 0.93638057), (2, 0.016136346), (3, 0.016236907), (4, 0.015789833)]"
1174404,2018-12-18,The Blu Spot,film indeed little stronger story character predecessors DCEU still long list problems contend,NEGATIVE,Aquaman,143.0,"Action, Adventure, Fantasy",English,Negative,"['film', 'indeed', 'little', 'stronger', 'story', 'character', 'predecessors', 'dceu', 'still', 'long', 'list', 'problems', 'contend']","[(0, 0.01509752), (1, 0.01459849), (2, 0.014651751), (3, 0.94107646), (4, 0.014575809)]"
414332,2019-03-15,eFilmCritic.com,Beckmann presents compelling portrait oncerevered figure forced come terms sins past,POSITIVE,The Waldheim Waltz,93.0,Documentary,German,Positive,"['beckmann', 'presents', 'compelling', 'portrait', 'oncerevered', 'figure', 'forced', 'come', 'terms', 'sins', 'past']","[(0, 0.016953876), (1, 0.9316573), (2, 0.017167274), (3, 0.017182207), (4, 0.017039355)]"
517621,2019-04-18,Radio Times,performances exceptional production values impeccable version feels consistently hamstrung structural flaws tonal misjudgements,POSITIVE,Loro,158.0,"Biography, Drama",Italian,Positive,"['performances', 'exceptional', 'production', 'values', 'impeccable', 'version', 'feels', 'consistently', 'hamstrung', 'structural', 'flaws', 'tonal', 'misjudgements']","[(0, 0.014437089), (1, 0.014495584), (2, 0.014564691), (3, 0.94176865), (4, 0.014733961)]"
306491,2015-10-01,TheWrap,slick shallow result better suited schools cineplex Malala lets captured admired applauded identified,NEGATIVE,He Named Me Malala,87.0,Documentary,English,Negative,"['slick', 'shallow', 'result', 'better', 'suited', 'schools', 'cineplex', 'malala', 'lets', 'captured', 'admired', 'applauded', 'identified']","[(0, 0.014606241), (1, 0.014449413), (2, 0.014618432), (3, 0.9419219), (4, 0.014404039)]"
589021,2015-06-15,Empire Magazine,Neither Medellinstyle disaster Aquamansized hit pays decent fan service Aricentric spinoff might smarter move,POSITIVE,Entourage,104.0,Comedy,English,Negative,"['neither', 'medellinstyle', 'disaster', 'aquamansized', 'hit', 'pays', 'decent', 'fan', 'service', 'aricentric', 'spinoff', 'might', 'smarter', 'move']","[(0, 0.013759794), (1, 0.0136773065), (2, 0.013565983), (3, 0.9456061), (4, 0.013390808)]"
